Format Version,1.0,
Take Name,230626_Group7_trial1_000,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:58:05 +0900,
Total Frames In Take,432,
Total Exported Frames,2160,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,0.781769,-52.140625,371.546875,9.954590,-14.388672,-2.664062,0.038726,0.026792,0.000000,-0.623899
0,0.000000,1,0.784393,-52.056641,372.968750,9.987793,-14.504395,-2.666138,0.038889,0.026779,0.000000,-0.620700
0,0.000000,2,0.877350,-51.882812,374.734375,9.980957,-14.464355,-2.720215,0.038599,0.026635,0.000000,-0.694224
0,0.000000,3,0.967926,-51.707031,372.953125,10.084473,-14.458984,-2.648438,0.038769,0.027040,0.000000,-0.617640
0,0.000000,4,0.696472,-52.052734,373.671875,10.024414,-14.470703,-2.580322,0.038726,0.026827,0.000000,-0.545860
1,0.010000,5,1.129700,-52.238281,372.265625,10.106445,-14.642090,-2.664917,0.039332,0.027148,0.000000,-0.579592
1,0.010000,6,0.778503,-52.146484,373.328125,10.139648,-14.732910,-2.614380,0.039464,0.027160,0.000000,-0.535342
1,0.010000,7,0.973877,-51.708984,375.078125,10.084473,-14.384766,-2.651123,0.038351,0.026886,0.000000,-0.641828
1,0.010000,8,0.869446,-52.236328,372.968750,10.032227,-14.461426,-2.544678,0.038774,0.026898,0.000000,-0.495889
1,0.010000,9,1.223877,-51.972656,373.328125,10.020508,-14.678223,-2.527954,0.039317,0.026841,0.000000,-0.451684
2,0.020000,10,0.871094,-52.238281,375.437500,9.995117,-14.540527,-2.530884,0.038730,0.026623,0.000000,-0.484528
2,0.020000,11,0.606384,-52.234375,376.140625,9.995117,-14.512207,-2.531616,0.038582,0.026573,0.000000,-0.500203
2,0.020000,12,0.866364,-52.236328,375.078125,10.143555,-14.730957,-2.495483,0.039274,0.027044,0.000000,-0.420505
2,0.020000,13,1.132202,-52.421875,374.375000,10.225586,-14.413574,-2.494141,0.038500,0.027314,0.000000,-0.444955
2,0.020000,14,0.702545,-51.523438,374.375000,10.114746,-14.776367,-2.477295,0.039469,0.027018,0.000000,-0.424713
3,0.030000,15,0.510132,-52.314453,373.671875,10.146973,-14.744141,-2.476440,0.039457,0.027155,0.000000,-0.398393
3,0.030000,16,0.258621,-51.429688,375.796875,10.184570,-14.910156,-2.461914,0.039676,0.027101,0.000000,-0.414375
3,0.030000,17,0.884308,-51.535156,375.078125,10.151855,-14.578613,-2.460815,0.038868,0.027066,0.000000,-0.433802
3,0.030000,18,0.875275,-51.701172,373.328125,10.121094,-14.692383,-2.406494,0.039355,0.027110,0.000000,-0.348058
3,0.030000,19,0.784912,-51.882812,375.437500,10.017090,-14.811523,-2.444214,0.039451,0.026681,0.000000,-0.376424
4,0.040000,20,1.236572,-51.359375,374.734375,10.069824,-14.717773,-2.304688,0.039275,0.026872,0.000000,-0.254308
4,0.040000,21,0.701569,-51.355469,374.734375,10.367188,-14.915527,-2.392456,0.039803,0.027665,0.000000,-0.328948
4,0.040000,22,0.620789,-51.437500,375.078125,10.110840,-14.475098,-2.391357,0.038592,0.026957,0.000000,-0.389536
4,0.040000,23,0.786896,-51.529297,375.078125,10.113770,-14.926270,-2.235840,0.039795,0.026964,0.000000,-0.164008
4,0.040000,24,1.135254,-51.800781,374.734375,10.087891,-14.835449,-2.252563,0.039589,0.026920,0.000000,-0.171249
5,0.050000,25,0.620544,-51.173828,374.015625,10.285645,-14.688965,-2.285889,0.039274,0.027501,0.000000,-0.259039
5,0.050000,26,0.797668,-51.175781,374.359375,10.248535,-14.658691,-2.321045,0.039157,0.027376,0.000000,-0.295331
5,0.050000,27,0.874512,-51.263672,372.953125,10.177246,-14.921875,-2.234375,0.040010,0.027288,0.000000,-0.159449
5,0.050000,28,1.057617,-51.269531,375.796875,10.103027,-14.994141,-2.167603,0.039900,0.026884,0.000000,-0.093536
5,0.050000,29,0.884613,-51.263672,374.734375,10.029297,-14.693848,-2.287354,0.039211,0.026764,0.000000,-0.253559
6,0.060000,30,0.801422,-51.091797,377.546875,10.096191,-14.812988,-2.221558,0.039235,0.026742,0.000000,-0.195548
6,0.060000,31,0.524139,-51.341797,373.671875,10.107422,-14.897949,-2.131470,0.039869,0.027049,0.000000,-0.070343
6,0.060000,32,0.796021,-51.169922,371.890625,10.062988,-14.619141,-2.127563,0.039310,0.027059,0.000000,-0.094518
6,0.060000,33,0.974854,-50.820312,371.546875,10.048340,-14.803711,-2.094116,0.039843,0.027045,0.000000,-0.042895
6,0.060000,34,0.971130,-51.351562,374.359375,10.070312,-14.727539,-2.200195,0.039341,0.026900,0.000000,-0.153868
7,0.070000,35,0.969299,-51.171875,373.312500,10.099609,-14.842285,-2.164062,0.039758,0.027054,0.000000,-0.103330
7,0.070000,36,0.619507,-50.992188,374.015625,10.018555,-14.819336,-2.130615,0.039622,0.026786,0.000000,-0.093596
7,0.070000,37,0.870300,-51.533203,374.359375,10.262695,-15.137207,-2.132324,0.040435,0.027414,0.000000,-0.024723
7,0.070000,38,0.517761,-51.429688,373.328125,10.110352,-15.011719,-2.131104,0.040211,0.027082,0.000000,-0.049067
7,0.070000,39,0.876526,-51.435547,374.359375,9.924805,-14.845703,-2.096558,0.039656,0.026511,0.000000,-0.033577
8,0.080000,40,0.786316,-51.263672,373.312500,10.214355,-15.001953,-2.061646,0.040186,0.027361,0.000000,0.019953
8,0.080000,41,0.794556,-51.355469,374.734375,10.255371,-14.773438,-2.079102,0.039424,0.027367,0.000000,-0.032731
8,0.080000,42,0.784637,-51.349609,373.328125,10.217773,-15.078125,-2.079102,0.040388,0.027369,0.000000,0.016302
8,0.080000,43,0.947998,-52.056641,373.328125,10.172363,-15.070801,-2.061890,0.040369,0.027248,0.000000,0.065404
8,0.080000,44,1.404785,-51.365234,375.421875,10.069824,-15.056152,-2.099365,0.040105,0.026823,0.000000,-0.001702
