Format Version,1.0,
Take Name,230626_Group7_trial1,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 16:57:44 +0900,
Total Frames In Take,793,
Total Exported Frames,3965,
Coordinate Space,Local,
Device Name,AMTI 10666M 10666M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,1,
PosX_PosY_X,0.464372,
PosX_PosY_Y,-0.000098,
PosX_PosY_Z,0.507728,
NegX_PosY_X,-0.000027,
NegX_PosY_Y,-0.000085,
NegX_PosY_Z,0.509102,
NegX_NegY_X,-0.000016,
NegX_NegY_Y,-0.000056,
NegX_NegY_Z,0.000019,
PosX_NegY_X,0.464383,
PosX_NegY_Y,-0.000070,
PosX_NegY_Z,-0.001356,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,3.099854,-43.578125,364.843750,14.009766,-27.593750,-3.423706,0.075632,0.038399,0.000000,-0.008786
0,0.000000,1,3.274292,-43.937500,364.843750,14.061035,-27.548828,-3.406494,0.075509,0.038540,0.000000,0.037354
0,0.000000,2,3.364990,-43.585938,365.187500,14.156738,-27.622070,-3.406738,0.075638,0.038766,0.000000,0.020463
0,0.000000,3,3.189697,-43.494141,365.531250,14.154297,-27.626953,-3.424316,0.075580,0.038723,0.000000,-0.013504
0,0.000000,4,2.997803,-44.291016,365.562500,14.296875,-27.670898,-3.406982,0.075694,0.039109,0.000000,0.062825
1,0.010000,5,3.448608,-43.853516,363.421875,14.242188,-27.541992,-3.438721,0.075785,0.039189,0.000000,0.019874
1,0.010000,6,2.661865,-43.574219,366.250000,14.083008,-27.651367,-3.304688,0.075499,0.038452,0.000000,0.087459
1,0.010000,7,3.801758,-43.863281,365.187500,14.278809,-27.640625,-3.423706,0.075689,0.039100,0.000000,0.044904
1,0.010000,8,2.993530,-43.339844,365.843750,14.166992,-27.826172,-3.354370,0.076060,0.038724,0.000000,0.057992
1,0.010000,9,3.534424,-44.210938,364.843750,14.293457,-27.537109,-3.336914,0.075476,0.039177,0.000000,0.138438
2,0.020000,10,3.358032,-43.941406,365.906250,14.060547,-27.772461,-3.371826,0.075900,0.038427,0.000000,0.092386
2,0.020000,11,3.274780,-43.675781,365.531250,14.270996,-27.624023,-3.424316,0.075572,0.039042,0.000000,0.004214
2,0.020000,12,3.626831,-43.769531,364.843750,14.386230,-27.646484,-3.353882,0.075776,0.039431,0.000000,0.105819
2,0.020000,13,3.268066,-44.025391,365.531250,14.138184,-27.700195,-3.493408,0.075781,0.038678,0.000000,-0.030732
2,0.020000,14,3.091187,-44.029297,366.250000,14.360352,-27.668945,-3.459839,0.075547,0.039209,0.000000,-0.012372
3,0.030000,15,3.271240,-43.857422,366.250000,14.206055,-27.661133,-3.356323,0.075525,0.038788,0.000000,0.082905
3,0.030000,16,3.342041,-43.611328,365.843750,14.140625,-27.890625,-3.371704,0.076236,0.038652,0.000000,0.082245
3,0.030000,17,3.266235,-44.117188,366.250000,14.179688,-27.775391,-3.458862,0.075837,0.038716,0.000000,0.013319
3,0.030000,18,3.097046,-43.943359,367.640625,14.393066,-27.744141,-3.444092,0.075465,0.039150,0.000000,-0.006641
3,0.030000,19,3.278198,-43.498047,365.187500,14.374512,-27.700195,-3.423462,0.075852,0.039362,0.000000,0.004988
4,0.040000,20,3.416504,-44.322266,366.218750,14.095703,-27.885742,-3.424194,0.076145,0.038490,0.000000,0.082227
4,0.040000,21,3.275635,-43.857422,366.250000,14.242676,-27.624023,-3.408081,0.075424,0.038888,0.000000,0.027202
4,0.040000,22,3.273682,-43.947266,367.296875,14.356445,-27.586914,-3.357422,0.075108,0.039087,0.000000,0.071325
4,0.040000,23,3.179688,-44.029297,365.531250,14.249512,-27.703125,-3.458862,0.075789,0.038983,0.000000,0.002013
4,0.040000,24,3.529541,-44.212891,367.296875,14.145020,-27.842773,-3.339233,0.075805,0.038511,0.000000,0.148231
5,0.050000,25,3.338501,-43.789062,366.562500,14.295410,-27.927734,-3.545044,0.076188,0.038999,0.000000,-0.078638
5,0.050000,26,2.892090,-44.224609,366.890625,14.313477,-27.869141,-3.528198,0.075960,0.039013,0.000000,-0.056053
5,0.050000,27,2.712769,-44.126953,366.218750,14.051270,-27.914062,-3.493286,0.076222,0.038369,0.000000,-0.025740
5,0.050000,28,3.057861,-44.580078,366.218750,14.254395,-27.937500,-3.510254,0.076286,0.038923,0.000000,0.009620
5,0.050000,29,2.801025,-44.134766,366.890625,14.309570,-28.024414,-3.441772,0.076384,0.039002,0.000000,0.038645
6,0.060000,30,3.245728,-44.236328,367.265625,14.351074,-27.892578,-3.476929,0.075947,0.039075,0.000000,0.009499
6,0.060000,31,3.152588,-44.234375,368.671875,14.387207,-28.048828,-3.461426,0.076081,0.039024,0.000000,0.026986
6,0.060000,32,3.527588,-44.304688,368.359375,14.074707,-27.879883,-3.409668,0.075687,0.038209,0.000000,0.078391
6,0.060000,33,2.633179,-43.685547,365.843750,14.255371,-27.841797,-3.423462,0.076103,0.038966,0.000000,0.003742
6,0.060000,34,3.265503,-44.130859,370.109375,14.437500,-28.004883,-3.482056,0.075667,0.039009,0.000000,-0.015445
7,0.070000,35,3.154297,-44.148438,369.015625,14.457031,-28.163086,-3.565430,0.076319,0.039177,0.000000,-0.072466
7,0.070000,36,2.822021,-44.208984,369.062500,14.403320,-27.946289,-3.411499,0.075722,0.039027,0.000000,0.046245
7,0.070000,37,3.241455,-44.234375,366.562500,14.351562,-27.892578,-3.441406,0.076092,0.039152,0.000000,0.051397
7,0.070000,38,3.267578,-44.037109,367.640625,14.470703,-27.889648,-3.513062,0.075861,0.039361,0.000000,-0.043740
7,0.070000,39,3.420898,-44.072266,370.078125,14.638672,-28.191406,-3.445801,0.076177,0.039556,0.000000,0.046804
8,0.080000,40,3.440674,-44.216797,369.406250,14.254883,-27.958984,-3.429565,0.075686,0.038589,0.000000,0.049810
8,0.080000,41,3.504639,-44.332031,367.953125,14.427734,-27.958008,-3.460449,0.075983,0.039211,0.000000,0.045430
8,0.080000,42,3.410400,-44.419922,366.562500,14.689453,-28.000000,-3.527100,0.076385,0.040074,0.000000,0.002598
8,0.080000,43,3.413574,-44.238281,367.953125,14.423340,-28.189453,-3.408569,0.076612,0.039199,0.000000,0.114401
8,0.080000,44,3.151855,-44.054688,367.609375,14.231934,-28.123047,-3.391113,0.076503,0.038715,0.000000,0.101205
9,0.090000,45,3.511597,-43.978516,367.953125,14.449219,-28.109375,-3.529541,0.076394,0.039269,0.000000,-0.031953
9,0.090000,46,3.594727,-44.246094,367.609375,14.424316,-27.992188,-3.460083,0.076147,0.039238,0.000000,0.050155
9,0.090000,47,3.884399,-44.140625,369.406250,14.584473,-28.017578,-3.515259,0.075845,0.039481,0.000000,-0.014058
9,0.090000,48,3.418213,-44.234375,366.562500,14.239746,-27.923828,-3.458862,0.076178,0.038847,0.000000,0.043590
