Format Version,1.0,
Take Name,230626_Group7_trial3_001,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 17:00:24 +0900,
Total Frames In Take,363,
Total Exported Frames,3630,
Coordinate Space,Local,
Device Name,Trigno 2883,
Device Type,0,
Device Channel Count,2,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Sensor 1,Sensor 2
0,0.000000,0,-0.015607,-0.077745
0,0.000000,1,-0.019749,-0.079214
0,0.000000,2,-0.041705,-0.054613
0,0.000000,3,-0.023105,-0.049918
0,0.000000,4,0.018016,-0.072568
0,0.000000,5,0.044278,-0.073478
0,0.000000,6,0.051671,-0.071921
0,0.000000,7,0.028023,-0.101455
0,0.000000,8,0.011325,-0.118511
0,0.000000,9,0.002201,-0.143898
1,0.010000,10,0.000169,-0.170230
1,0.010000,11,-0.070538,-0.120887
1,0.010000,12,-0.163037,-0.037479
1,0.010000,13,-0.134061,0.002881
1,0.010000,14,0.009875,0.052607
1,0.010000,15,0.184813,0.118451
1,0.010000,16,0.307426,0.081878
1,0.010000,17,0.239262,0.002711
1,0.010000,18,0.060792,0.008365
1,0.010000,19,-0.024762,-0.036524
2,0.020000,20,-0.057900,-0.077649
2,0.020000,21,-0.084469,-0.072208
2,0.020000,22,-0.095508,-0.060371
2,0.020000,23,-0.093318,-0.076011
2,0.020000,24,-0.038442,-0.094104
2,0.020000,25,-0.010137,-0.089517
2,0.020000,26,0.039733,-0.081553
2,0.020000,27,0.086290,-0.083328
2,0.020000,28,0.045788,-0.068813
2,0.020000,29,0.000745,-0.049959
3,0.030000,30,-0.066928,-0.048187
3,0.030000,31,-0.142327,-0.054306
3,0.030000,32,-0.061456,-0.061525
3,0.030000,33,0.142996,-0.069697
3,0.030000,34,0.205350,-0.076733
3,0.030000,35,0.067681,-0.101838
3,0.030000,36,-0.103055,-0.113942
3,0.030000,37,-0.115782,-0.139903
3,0.030000,38,-0.056397,-0.168434
3,0.030000,39,0.023073,-0.113293
4,0.040000,40,0.079052,0.023198
4,0.040000,41,0.014812,0.061281
4,0.040000,42,-0.065244,0.021098
4,0.040000,43,-0.072677,-0.015114
4,0.040000,44,-0.009795,-0.031842
4,0.040000,45,0.038345,-0.071638
4,0.040000,46,0.064036,-0.083645
4,0.040000,47,0.066686,-0.091277
4,0.040000,48,0.037262,-0.085843
4,0.040000,49,0.013631,-0.071400
5,0.050000,50,-0.013466,-0.077135
5,0.050000,51,-0.073830,-0.041490
5,0.050000,52,-0.134713,0.026047
5,0.050000,53,-0.097409,0.030469
5,0.050000,54,-0.031607,-0.000118
5,0.050000,55,0.016134,-0.046452
5,0.050000,56,0.058639,-0.067865
5,0.050000,57,0.091087,-0.122755
5,0.050000,58,0.087602,-0.196956
5,0.050000,59,0.050008,-0.103254
6,0.060000,60,-0.005334,0.066615
6,0.060000,61,-0.046358,0.071163
6,0.060000,62,-0.028760,-0.017851
6,0.060000,63,0.001717,-0.063015
6,0.060000,64,0.013204,-0.059942
6,0.060000,65,0.062561,-0.072748
6,0.060000,66,0.002892,-0.101251
6,0.060000,67,-0.017133,-0.111104
6,0.060000,68,0.040292,-0.081635
6,0.060000,69,0.095568,-0.031827
7,0.070000,70,0.061336,-0.011047
7,0.070000,71,-0.059878,-0.033631
7,0.070000,72,-0.140719,-0.067582
7,0.070000,73,-0.016994,-0.099433
7,0.070000,74,0.036823,-0.134198
7,0.070000,75,0.078817,-0.150556
7,0.070000,76,0.103076,-0.055358
7,0.070000,77,0.037233,0.069896
7,0.070000,78,0.007392,0.080923
7,0.070000,79,-0.014148,0.003003
8,0.080000,80,-0.028732,-0.062159
8,0.080000,81,-0.029170,-0.103860
8,0.080000,82,-0.023294,-0.126806
8,0.080000,83,-0.024910,-0.147232
8,0.080000,84,-0.025063,-0.098472
8,0.080000,85,-0.012647,0.000850
8,0.080000,86,-0.006277,0.023742
8,0.080000,87,0.027712,-0.027311
8,0.080000,88,0.034163,-0.079176
8,0.080000,89,-0.003338,-0.089463
9,0.090000,90,-0.052444,-0.097487
9,0.090000,91,-0.050804,-0.120979
9,0.090000,92,-0.014591,-0.109908
9,0.090000,93,0.022044,0.001336
9,0.090000,94,0.005150,0.097554
9,0.090000,95,-0.019948,0.050820
9,0.090000,96,-0.015520,-0.025252
9,0.090000,97,0.032578,-0.046432
9,0.090000,98,0.051126,-0.055320
