Format Version,1.0,
Take Name,230626_Group7_trial3_003,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 17:00:34 +0900,
Total Frames In Take,389,
Total Exported Frames,1945,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,-1.051575,-58.865234,348.843750,5.363525,7.691162,0.665283,-0.022048,0.015375,0.000000,-0.648721
0,0.000000,1,-0.613861,-58.865234,348.843750,5.175537,7.557617,0.648285,-0.021665,0.014836,0.000000,-0.636124
0,0.000000,2,-0.701965,-58.869141,349.906250,5.401367,7.515625,0.647614,-0.021479,0.015437,0.000000,-0.627671
0,0.000000,3,-1.145874,-59.042969,350.250000,5.408691,7.497559,0.664520,-0.021406,0.015442,0.000000,-0.617067
0,0.000000,4,-1.408691,-59.123047,347.437500,5.373779,7.564209,0.649078,-0.021771,0.015467,0.000000,-0.659903
1,0.010000,5,-1.411499,-59.033203,348.125000,5.220215,7.450195,0.512329,-0.021401,0.014995,0.000000,-0.772201
1,0.010000,6,-1.402344,-58.941406,347.437500,5.216309,7.716064,0.597839,-0.022208,0.015014,0.000000,-0.732215
1,0.010000,7,-1.053284,-59.304688,347.062500,5.455811,7.654541,0.582367,-0.022055,0.015720,0.000000,-0.742169
1,0.010000,8,-1.231934,-59.121094,347.437500,5.260986,7.609131,0.478531,-0.021901,0.015142,0.000000,-0.834918
1,0.010000,9,-0.614410,-59.216797,347.437500,5.227051,7.596436,0.631989,-0.021864,0.015045,0.000000,-0.671982
2,0.020000,10,-1.495667,-58.681641,347.781250,5.431152,7.408447,0.597809,-0.021302,0.015617,0.000000,-0.675587
2,0.020000,11,-1.136353,-58.851562,346.718750,5.062256,7.727539,0.564178,-0.022288,0.014600,0.000000,-0.764075
2,0.020000,12,-1.398376,-58.591797,346.359375,5.389404,7.640137,0.565735,-0.022058,0.015560,0.000000,-0.748466
2,0.020000,13,-1.313416,-58.496094,344.953125,5.122559,7.606445,0.565247,-0.022051,0.014850,0.000000,-0.744135
2,0.020000,14,-1.840271,-58.585938,346.000000,5.389404,7.622314,0.566010,-0.022030,0.015576,0.000000,-0.753292
3,0.030000,15,-1.667236,-58.849609,344.593750,5.362061,7.668213,0.600830,-0.022253,0.015561,0.000000,-0.734688
3,0.030000,16,-2.013184,-57.960938,347.421875,5.177002,7.614990,0.563812,-0.021919,0.014901,0.000000,-0.736607
3,0.030000,17,-1.662170,-58.496094,347.062500,5.273438,7.780762,0.512817,-0.022419,0.015194,0.000000,-0.823857
3,0.030000,18,-1.751221,-58.492188,344.593750,5.159912,7.664795,0.531311,-0.022243,0.014974,0.000000,-0.795953
3,0.030000,19,-1.755798,-58.587891,347.062500,5.314453,7.587646,0.615204,-0.021862,0.015313,0.000000,-0.692559
4,0.040000,20,-1.842041,-58.404297,346.718750,5.119385,7.622803,0.564240,-0.021986,0.014765,0.000000,-0.747009
4,0.040000,21,-1.399658,-58.673828,345.656250,5.242188,7.754395,0.564819,-0.022434,0.015166,0.000000,-0.772687
4,0.040000,22,-1.485291,-58.494141,347.421875,5.085449,7.863770,0.563721,-0.022635,0.014638,0.000000,-0.782014
4,0.040000,23,-1.658203,-58.144531,346.000000,5.408936,7.742432,0.548859,-0.022377,0.015633,0.000000,-0.778162
4,0.040000,24,-1.841553,-58.314453,344.593750,5.190186,7.585449,0.565460,-0.022013,0.015062,0.000000,-0.745937
5,0.050000,25,-1.576172,-58.675781,346.359375,5.393311,7.633057,0.531677,-0.022038,0.015571,0.000000,-0.785961
5,0.050000,26,-1.309998,-58.587891,346.359375,5.314209,7.719971,0.599823,-0.022289,0.015343,0.000000,-0.726136
5,0.050000,27,-1.662415,-58.496094,346.359375,5.235352,7.743408,0.530304,-0.022357,0.015115,0.000000,-0.802596
5,0.050000,28,-1.310852,-59.031250,347.437500,5.332275,7.833008,0.530975,-0.022545,0.015347,0.000000,-0.820007
5,0.050000,29,-1.308960,-58.849609,346.718750,5.136963,7.872314,0.530029,-0.022705,0.014816,0.000000,-0.825556
6,0.060000,30,-1.397156,-58.501953,346.718750,5.386230,7.791992,0.531372,-0.022474,0.015535,0.000000,-0.805078
6,0.060000,31,-1.321594,-59.210938,346.718750,5.302002,7.530273,0.478989,-0.021719,0.015292,0.000000,-0.827204
6,0.060000,32,-1.054260,-59.388672,347.437500,5.346924,7.805908,0.582123,-0.022467,0.015390,0.000000,-0.768392
6,0.060000,33,-1.400330,-59.119141,347.437500,5.260742,7.868164,0.529602,-0.022646,0.015142,0.000000,-0.830429
6,0.060000,34,-1.231384,-59.123047,349.187500,5.299316,7.722168,0.545654,-0.022115,0.015176,0.000000,-0.780520
7,0.070000,35,-0.967896,-59.212891,347.437500,5.151855,7.695801,0.546722,-0.022150,0.014828,0.000000,-0.779205
7,0.070000,36,-1.054565,-59.382812,346.375000,5.120850,7.806885,0.496155,-0.022539,0.014784,0.000000,-0.857855
7,0.070000,37,-1.144104,-59.566406,349.546875,5.204346,7.839600,0.511322,-0.022428,0.014889,0.000000,-0.841661
7,0.070000,38,-1.148132,-59.574219,350.250000,5.467529,7.573486,0.478271,-0.021623,0.015610,0.000000,-0.827830
7,0.070000,39,-0.789703,-59.482422,349.187500,5.275879,7.778320,0.511566,-0.022275,0.015109,0.000000,-0.825365
8,0.080000,40,-0.880554,-59.656250,348.125000,5.320312,7.737061,0.529266,-0.022225,0.015283,0.000000,-0.810048
8,0.080000,41,-0.793243,-59.748047,348.125000,5.211426,7.740723,0.529266,-0.022235,0.014970,0.000000,-0.811134
8,0.080000,42,-0.704010,-59.658203,347.437500,5.319824,7.820557,0.530975,-0.022509,0.015312,0.000000,-0.822665
8,0.080000,43,-0.707672,-60.009766,349.546875,5.146729,7.858154,0.579468,-0.022481,0.014724,0.000000,-0.780030
8,0.080000,44,-0.521881,-59.662109,351.328125,5.208008,8.016113,0.442032,-0.022817,0.014824,0.000000,-0.926991
9,0.090000,45,-0.446350,-60.375000,351.328125,5.312012,7.905762,0.476181,-0.022503,0.015120,0.000000,-0.889156
9,0.090000,46,-0.529633,-59.929688,350.265625,5.256348,7.902588,0.510895,-0.022562,0.015007,0.000000,-0.849169
9,0.090000,47,-1.329041,-59.916016,350.609375,5.143555,7.756592,0.476654,-0.022123,0.014670,0.000000,-0.868376
9,0.090000,48,-0.889648,-60.193359,353.468750,5.117920,8.000977,0.491928,-0.022636,0.014479,0.000000,-0.883466
9,0.090000,49,-0.979462,-60.634766,352.390625,5.398193,7.884033,0.425797,-0.022373,0.015319,0.000000,-0.945789
10,0.100000,50,-1.070801,-60.546875,353.093750,5.395020,7.842285,0.424011,-0.022210,0.015279,0.000000,-0.937108
10,0.100000,51,-1.070068,-60.546875,355.578125,5.094971,8.031738,0.473648,-0.022588,0.014329,0.000000,-0.909307
10,0.100000,52,-0.805756,-60.900391,353.109375,5.221191,8.042969,0.492126,-0.022778,0.014786,0.000000,-0.906950
10,0.100000,53,-1.239380,-60.898438,352.390625,5.333740,8.215332,0.476822,-0.023313,0.015136,0.000000,-0.961671
10,0.100000,54,-0.969482,-60.544922,353.796875,5.319580,8.414551,0.441833,-0.023784,0.015036,0.000000,-1.012717
11,0.110000,55,-1.240234,-60.375000,356.296875,5.388672,8.174805,0.321136,-0.022944,0.015124,0.000000,-1.082853
11,0.110000,56,-1.329041,-60.365234,354.515625,5.200195,8.058594,0.423111,-0.022731,0.014668,0.000000,-0.968563
11,0.110000,57,-1.157349,-61.169922,355.921875,5.345459,8.255371,0.457733,-0.023194,0.015019,0.000000,-0.978444
11,0.110000,58,-1.861511,-60.894531,354.500000,5.371826,8.265625,0.560822,-0.023316,0.015153,0.000000,-0.887221
11,0.110000,59,-1.867737,-61.072266,355.234375,5.341553,8.188965,0.372894,-0.023052,0.015037,0.000000,-1.063046
12,0.120000,60,-1.337952,-61.072266,353.812500,5.115723,8.173828,0.491653,-0.023102,0.014459,0.000000,-0.938592
12,0.120000,61,-2.041138,-60.800781,355.234375,5.255859,8.144043,0.422684,-0.022926,0.014795,0.000000,-1.001424
12,0.120000,62,-1.776001,-61.164062,355.578125,5.383057,8.192871,0.457916,-0.023041,0.015139,0.000000,-0.978251
12,0.120000,63,-1.686157,-61.072266,356.984375,5.191650,8.271973,0.353439,-0.023172,0.014543,0.000000,-1.086237
12,0.120000,64,-1.948914,-60.544922,357.703125,5.433594,8.184570,0.422607,-0.022881,0.015190,0.000000,-0.992319
13,0.130000,65,-2.128784,-61.158203,358.046875,5.271240,8.329102,0.386871,-0.023263,0.014722,0.000000,-1.067168
13,0.130000,66,-2.223145,-61.693359,359.453125,5.442871,8.401367,0.455627,-0.023373,0.015142,0.000000,-1.019972
13,0.130000,67,-2.219360,-61.332031,357.703125,5.315430,8.326172,0.353012,-0.023277,0.014860,0.000000,-1.107579
13,0.130000,68,-2.207397,-60.716797,358.031250,5.215332,8.477539,0.437973,-0.023678,0.014567,0.000000,-1.031846
13,0.130000,69,-2.036743,-60.896484,359.093750,5.298096,8.408691,0.283997,-0.023416,0.014754,0.000000,-1.172032
14,0.140000,70,-2.388062,-61.072266,359.093750,5.455322,8.507812,0.370575,-0.023692,0.015192,0.000000,-1.112656
14,0.140000,71,-2.210693,-60.984375,358.031250,5.564209,8.477539,0.439346,-0.023678,0.015541,0.000000,-1.039011
14,0.140000,72,-2.392090,-60.980469,356.984375,5.413818,8.243164,0.371857,-0.023091,0.015165,0.000000,-1.072527
14,0.140000,73,-2.571777,-61.242188,357.703125,5.349365,8.312012,0.422577,-0.023237,0.014955,0.000000,-1.038979
14,0.140000,74,-2.749023,-60.980469,359.468750,5.377197,8.266113,0.369019,-0.022995,0.014959,0.000000,-1.074371
15,0.150000,75,-2.392822,-61.419922,357.687500,5.356689,8.432617,0.320282,-0.023575,0.014976,0.000000,-1.163550
15,0.150000,76,-2.474976,-60.980469,360.515625,5.377197,8.503906,0.437912,-0.023588,0.014915,0.000000,-1.037421
15,0.150000,77,-2.559570,-60.980469,358.750000,5.526855,8.651855,0.370758,-0.024117,0.015406,0.000000,-1.139320
15,0.150000,78,-2.395142,-60.982422,360.875000,5.264648,8.279785,0.402298,-0.022944,0.014589,0.000000,-1.031802
15,0.150000,79,-2.566528,-61.246094,360.859375,5.387939,8.538574,0.437698,-0.023662,0.014931,0.000000,-1.049814
16,0.160000,80,-2.122681,-60.724609,360.156250,5.441650,8.441895,0.318848,-0.023440,0.015109,0.000000,-1.136581
16,0.160000,81,-2.840698,-61.246094,359.468750,5.500488,8.262695,0.387451,-0.022986,0.015302,0.000000,-1.063810
16,0.160000,82,-2.218628,-60.982422,360.171875,5.301514,8.324707,0.317474,-0.023113,0.014719,0.000000,-1.124678
16,0.160000,83,-2.843140,-61.511719,361.937500,5.211182,8.337402,0.384613,-0.023035,0.014398,0.000000,-1.073274
16,0.160000,84,-2.304199,-61.070312,358.750000,5.380371,8.435059,0.387833,-0.023512,0.014998,0.000000,-1.082632
17,0.170000,85,-2.489136,-61.427734,360.187500,5.432617,8.200195,0.334534,-0.022766,0.015083,0.000000,-1.101502
17,0.170000,86,-2.491943,-61.691406,361.593750,5.368408,8.275879,0.333710,-0.022887,0.014847,0.000000,-1.115232
17,0.170000,87,-2.574219,-61.515625,360.187500,5.398682,8.311523,0.489288,-0.023076,0.014989,0.000000,-0.968802
17,0.170000,88,-2.483765,-60.980469,359.828125,5.189209,8.314453,0.334732,-0.023107,0.014421,0.000000,-1.110147
17,0.170000,89,-2.486572,-61.248047,361.593750,5.312988,8.238770,0.350769,-0.022785,0.014693,0.000000,-1.081279
18,0.180000,90,-2.309814,-61.250000,361.593750,5.238037,8.321289,0.333694,-0.023013,0.014486,0.000000,-1.109300
18,0.180000,91,-2.759644,-61.601562,363.718750,5.365723,8.226074,0.281326,-0.022617,0.014752,0.000000,-1.152602
18,0.180000,92,-2.665405,-61.777344,361.578125,5.372070,8.497070,0.386154,-0.023500,0.014857,0.000000,-1.105211
18,0.180000,93,-2.225098,-61.613281,363.718750,5.478271,8.248047,0.366547,-0.022677,0.015062,0.000000,-1.064171
18,0.180000,94,-2.308838,-61.869141,361.234375,5.338379,8.587402,0.335220,-0.023772,0.014778,0.000000,-1.169677
19,0.190000,95,-2.406616,-61.958984,362.312500,5.304443,8.279785,0.350342,-0.022853,0.014641,0.000000,-1.100817
19,0.190000,96,-2.489746,-61.867188,361.593750,5.338135,8.390625,0.401871,-0.023205,0.014763,0.000000,-1.070486
19,0.190000,97,-2.315918,-62.136719,362.656250,5.424316,8.434570,0.368515,-0.023258,0.014957,0.000000,-1.111285
19,0.190000,98,-2.583008,-61.958984,363.359375,5.304688,8.271973,0.383774,-0.022765,0.014599,0.000000,-1.064448
19,0.190000,99,-2.230469,-62.050781,363.718750,5.421143,8.361816,0.468796,-0.022990,0.014905,0.000000,-0.990983
20,0.200000,100,-2.312622,-61.871094,362.640625,5.301025,8.510254,0.315994,-0.023467,0.014618,0.000000,-1.169769
20,0.200000,101,-2.410645,-62.312500,363.015625,5.243896,8.317871,0.349884,-0.022913,0.014445,0.000000,-1.112721
20,0.200000,102,-2.316528,-62.228516,364.078125,5.240479,8.434570,0.332214,-0.023167,0.014394,0.000000,-1.142773
20,0.200000,103,-2.335205,-62.673828,363.359375,5.371094,7.979980,0.264542,-0.021962,0.014782,0.000000,-1.146399
20,0.200000,104,-2.148071,-62.490234,361.953125,5.288086,8.214844,0.316437,-0.022696,0.014610,0.000000,-1.133217
21,0.210000,105,-2.152954,-62.582031,363.718750,5.179932,8.138672,0.434738,-0.022376,0.014242,0.000000,-0.996276
21,0.210000,106,-1.708252,-62.667969,362.312500,5.145020,8.233398,0.333282,-0.022725,0.014201,0.000000,-1.115079
21,0.210000,107,-1.799683,-62.582031,363.015625,5.141846,8.153320,0.452209,-0.022460,0.014164,0.000000,-0.978872
21,0.210000,108,-2.062622,-62.406250,363.015625,5.285156,8.104492,0.298813,-0.022325,0.014559,0.000000,-1.124465
21,0.210000,109,-1.623169,-62.585938,362.312500,5.291992,8.084961,0.350372,-0.022315,0.014606,0.000000,-1.069934
22,0.220000,110,-1.715149,-62.849609,360.890625,5.264648,8.043457,0.368256,-0.022288,0.014588,0.000000,-1.057544
22,0.220000,111,-1.358154,-62.234375,361.953125,5.165039,8.019043,0.367630,-0.022155,0.014270,0.000000,-1.030548
22,0.220000,112,-1.448792,-62.410156,361.593750,5.209717,7.863770,0.367889,-0.021748,0.014408,0.000000,-1.010251
22,0.220000,113,-1.808716,-62.583984,361.593750,5.066650,7.736816,0.367920,-0.021396,0.014012,0.000000,-0.996498
22,0.220000,114,-1.803040,-62.496094,362.656250,5.213379,7.962646,0.367249,-0.021956,0.014376,0.000000,-1.030864
23,0.230000,115,-1.189026,-62.501953,361.953125,5.100830,7.760498,0.316544,-0.021441,0.014093,0.000000,-1.040293
23,0.230000,116,-1.542542,-62.851562,361.593750,5.152344,7.937012,0.367874,-0.021950,0.014249,0.000000,-1.033702
23,0.230000,117,-1.358948,-62.320312,363.015625,5.056152,7.943359,0.401138,-0.021882,0.013928,0.000000,-0.981457
23,0.230000,118,-1.371399,-62.582031,360.921875,4.916016,7.602539,0.300140,-0.021064,0.013621,0.000000,-1.036781
23,0.230000,119,-1.198608,-63.298828,362.312500,5.095459,7.836914,0.265167,-0.021630,0.014064,0.000000,-1.120860
24,0.240000,120,-0.932526,-62.855469,361.968750,5.002441,7.582275,0.197220,-0.020947,0.013820,0.000000,-1.132321
24,0.240000,121,-1.283691,-62.326172,362.671875,5.056152,7.377441,0.316193,-0.020342,0.013941,0.000000,-0.969538
24,0.240000,122,-1.203003,-62.585938,362.328125,4.766357,7.381836,0.231140,-0.020373,0.013155,0.000000,-1.059770
24,0.240000,123,-1.463440,-62.939453,363.390625,5.006104,7.711914,0.213417,-0.021222,0.013776,0.000000,-1.142451
24,0.240000,124,-0.845123,-62.597656,362.671875,4.991699,7.433105,0.299164,-0.020495,0.013764,0.000000,-0.995432
25,0.250000,125,-1.025330,-62.857422,361.609375,5.039795,7.427002,0.282715,-0.020539,0.013937,0.000000,-1.022588
25,0.250000,126,-0.848267,-62.857422,363.031250,4.927490,7.433594,0.247787,-0.020476,0.013573,0.000000,-1.050824
25,0.250000,127,-1.023438,-62.675781,360.546875,4.882080,7.427246,0.300385,-0.020600,0.013541,0.000000,-1.004591
25,0.250000,128,-0.669830,-62.320312,361.265625,4.680176,7.365234,0.299973,-0.020387,0.012955,0.000000,-0.979249
25,0.250000,129,-0.671661,-62.505859,362.671875,4.838135,7.288330,0.282120,-0.020096,0.013340,0.000000,-0.982971
26,0.260000,130,-0.847626,-62.416016,361.265625,4.947021,7.205811,0.214737,-0.019946,0.013694,0.000000,-1.041821
26,0.260000,131,-0.667572,-62.154297,361.609375,5.086426,7.288818,0.248627,-0.020157,0.014066,0.000000,-1.013583
26,0.260000,132,-0.763580,-62.414062,361.265625,4.759033,7.096436,0.214745,-0.019643,0.013173,0.000000,-1.021330
26,0.260000,133,-0.671906,-62.150391,361.609375,4.823486,7.099365,0.265717,-0.019633,0.013339,0.000000,-0.963425
26,0.260000,134,-0.856262,-62.765625,361.265625,4.810791,7.168213,0.265915,-0.019842,0.013316,0.000000,-0.990880
27,0.270000,135,-1.029907,-62.496094,360.546875,4.762207,7.086182,0.215157,-0.019654,0.013208,0.000000,-1.026744
27,0.270000,136,-0.405563,-62.064453,362.328125,4.857666,7.110107,0.231178,-0.019623,0.013407,0.000000,-0.992174
27,0.270000,137,-0.945740,-62.500000,361.265625,4.687500,6.937256,0.213371,-0.019203,0.012975,0.000000,-0.999065
27,0.270000,138,-0.854004,-62.240234,361.968750,4.864990,6.978027,0.214340,-0.019278,0.013440,0.000000,-0.997004
27,0.270000,139,-0.665405,-61.968750,361.609375,4.665771,7.251221,0.180405,-0.020053,0.012903,0.000000,-1.070818
28,0.280000,140,-0.760376,-62.146484,361.265625,4.823730,7.095947,0.248878,-0.019642,0.013352,0.000000,-0.981950
28,0.280000,141,-1.122009,-62.501953,363.390625,4.725586,7.005371,0.177994,-0.019278,0.013004,0.000000,-1.041497
28,0.280000,142,-1.027527,-61.968750,361.609375,4.666260,6.895508,0.179047,-0.019069,0.012904,0.000000,-1.015891
28,0.280000,143,-0.945557,-62.142578,362.343750,4.485840,6.785156,0.178635,-0.018726,0.012380,0.000000,-0.996737
28,0.280000,144,-0.585876,-61.968750,360.890625,4.590820,6.989258,0.179451,-0.019367,0.012721,0.000000,-1.028132
29,0.290000,145,-1.031921,-62.316406,361.265625,4.605225,6.895996,0.247498,-0.019088,0.012747,0.000000,-0.955180
29,0.290000,146,-0.760468,-61.441406,360.890625,4.719727,6.754395,0.145370,-0.018716,0.013078,0.000000,-1.014506
29,0.290000,147,-0.943604,-61.968750,361.265625,4.666016,6.822998,0.128082,-0.018886,0.012916,0.000000,-1.054470
29,0.290000,148,-0.681946,-62.236328,360.203125,4.676514,6.834229,0.026340,-0.018973,0.012983,0.000000,-1.163340
29,0.290000,149,-0.322052,-62.062500,359.843750,4.744385,6.848633,0.163040,-0.019032,0.013185,0.000000,-1.022394
30,0.300000,150,-0.682739,-62.322266,361.625000,4.567627,6.796143,0.127869,-0.018793,0.012631,0.000000,-1.051999
30,0.300000,151,-0.857391,-61.792969,361.281250,4.658936,6.561035,0.145164,-0.018160,0.012896,0.000000,-0.988081
30,0.300000,152,-0.330612,-62.058594,360.218750,4.518799,6.621338,0.145790,-0.018381,0.012545,0.000000,-0.999083
30,0.300000,153,-0.589386,-61.527344,359.515625,4.534912,6.610596,0.146202,-0.018388,0.012614,0.000000,-0.992567
30,0.300000,154,-0.331467,-61.798828,361.625000,4.621582,6.468018,0.144974,-0.017886,0.012780,0.000000,-0.964595
31,0.310000,155,-0.766083,-61.525391,359.859375,4.685547,6.603027,0.111862,-0.018349,0.013020,0.000000,-1.027036
31,0.310000,156,-0.068752,-61.972656,360.218750,4.440430,6.517578,0.111656,-0.018093,0.012327,0.000000,-1.010487
31,0.310000,157,-0.505157,-61.531250,360.562500,4.610596,6.423340,0.145592,-0.017815,0.012787,0.000000,-0.957033
31,0.310000,158,-0.061193,-62.066406,360.218750,4.556641,6.707764,0.060461,-0.018621,0.012650,0.000000,-1.096074
31,0.310000,159,0.109783,-61.798828,358.093750,4.620605,6.335938,0.095863,-0.017694,0.012903,0.000000,-0.996159
32,0.320000,160,0.194023,-62.160156,359.156250,4.672852,6.338867,0.078171,-0.017649,0.013011,0.000000,-1.016390
32,0.320000,161,-0.159554,-61.796875,358.453125,4.433105,6.249023,0.027386,-0.017433,0.012367,0.000000,-1.051911
32,0.320000,162,0.278931,-62.070312,357.734375,4.706543,6.266602,0.061947,-0.017517,0.013157,0.000000,-1.021698
32,0.320000,163,0.193001,-61.886719,359.515625,4.436523,6.339111,0.095032,-0.017632,0.012340,0.000000,-0.993796
32,0.320000,164,0.108833,-61.531250,358.796875,4.384766,6.297119,-0.024023,-0.017551,0.012221,0.000000,-1.102607
33,0.330000,165,0.113308,-61.177734,359.859375,4.408447,6.220215,0.128967,-0.017285,0.012250,0.000000,-0.927110
33,0.330000,166,0.460327,-61.712891,359.859375,4.354492,6.272949,0.026554,-0.017432,0.012101,0.000000,-1.043634
33,0.330000,167,0.193642,-61.796875,356.671875,4.432373,6.188232,0.079639,-0.017350,0.012427,0.000000,-0.990126
33,0.330000,168,0.019446,-61.265625,359.156250,4.261475,6.065918,-0.024241,-0.016889,0.011865,0.000000,-1.058748
33,0.330000,169,0.457291,-61.632812,361.281250,4.577148,6.082275,0.008649,-0.016835,0.012669,0.000000,-1.023164
34,0.340000,170,-0.073235,-61.621094,359.156250,4.426025,6.138428,0.095249,-0.017091,0.012323,0.000000,-0.958835
34,0.340000,171,0.104431,-61.531250,358.093750,4.346924,6.107910,-0.057747,-0.017057,0.012139,0.000000,-1.106001
34,0.340000,172,0.277832,-61.798828,357.390625,4.432617,6.077393,0.010949,-0.017005,0.012403,0.000000,-1.036488
34,0.340000,173,0.013218,-61.449219,360.921875,4.381836,6.026855,0.043009,-0.016699,0.012141,0.000000,-0.982941
34,0.340000,174,0.456055,-61.714844,360.218750,4.354736,6.121094,0.060484,-0.016993,0.012089,0.000000,-0.982705
35,0.350000,175,-0.078476,-61.712891,360.218750,4.392578,5.909668,0.060492,-0.016406,0.012194,0.000000,-0.952913
35,0.350000,176,0.461502,-61.271484,360.562500,4.261963,6.083252,-0.025073,-0.016872,0.011820,0.000000,-1.053363
35,0.350000,177,0.275940,-61.625000,359.156250,4.426270,5.962646,-0.058382,-0.016602,0.012324,0.000000,-1.078068
35,0.350000,178,0.003504,-61.886719,360.921875,4.249268,5.837158,0.077152,-0.016173,0.011773,0.000000,-0.923695
35,0.350000,179,0.087486,-62.599609,360.218750,4.353271,5.917480,0.026346,-0.016427,0.012085,0.000000,-1.000949
36,0.360000,180,0.277115,-61.535156,359.859375,4.197266,6.000488,0.060705,-0.016675,0.011664,0.000000,-0.962133
36,0.360000,181,0.009893,-61.712891,360.218750,4.354980,5.951172,0.026346,-0.016521,0.012090,0.000000,-0.993092
36,0.360000,182,-0.175606,-62.412109,359.156250,4.195068,5.983398,0.078186,-0.016660,0.011680,0.000000,-0.963626
36,0.360000,183,0.183456,-62.330078,360.562500,4.229492,6.111084,0.043213,-0.016949,0.011730,0.000000,-1.011052
36,0.360000,184,-0.170944,-62.416016,361.625000,4.270996,6.134277,0.025510,-0.016963,0.011811,0.000000,-1.035277
37,0.370000,185,-0.091415,-62.414062,360.218750,4.232910,5.834229,0.060499,-0.016196,0.011751,0.000000,-0.951455
37,0.370000,186,-0.093571,-62.597656,360.218750,4.315430,5.796143,0.026349,-0.016091,0.011980,0.000000,-0.982007
37,0.370000,187,-0.002940,-62.068359,361.281250,4.294678,5.647217,0.059877,-0.015631,0.011887,0.000000,-0.910353
37,0.370000,188,0.085533,-62.421875,362.000000,4.233887,5.878662,0.042377,-0.016239,0.011696,0.000000,-0.970316
37,0.370000,189,0.179337,-61.976562,362.343750,4.103271,5.843750,0.008024,-0.016128,0.011324,0.000000,-0.989481
38,0.380000,190,-0.001968,-62.332031,360.218750,4.342285,5.686035,-0.041946,-0.015785,0.012055,0.000000,-1.025878
38,0.380000,191,0.343750,-62.949219,358.453125,4.178955,5.815186,0.044472,-0.016223,0.011658,0.000000,-0.972746
38,0.380000,192,-0.189491,-62.857422,360.234375,4.138428,5.603271,0.043427,-0.015555,0.011488,0.000000,-0.936467
38,0.380000,193,-0.363998,-62.679688,360.953125,4.018555,5.671631,-0.042376,-0.015713,0.011133,0.000000,-1.031309
38,0.380000,194,-0.281067,-62.767578,360.578125,4.059814,5.523438,-0.025092,-0.015318,0.011259,0.000000,-0.989748
39,0.390000,195,0.169342,-62.771484,359.875000,4.172119,5.807373,-0.075882,-0.016137,0.011593,0.000000,-1.086874
39,0.390000,196,-0.009520,-62.597656,360.218750,4.240479,5.686035,-0.007794,-0.015785,0.011772,0.000000,-0.996007
39,0.390000,197,-0.281204,-62.416016,359.171875,4.120361,5.333740,-0.041340,-0.014850,0.011472,0.000000,-0.971450
39,0.390000,198,0.078850,-62.593750,360.234375,4.052490,5.613770,-0.041956,-0.015584,0.011250,0.000000,-1.016508
39,0.390000,199,-0.192734,-62.767578,360.234375,4.059570,5.488770,-0.059032,-0.015237,0.011269,0.000000,-1.017573
40,0.400000,200,0.085163,-62.064453,358.812500,4.218506,5.499756,-0.109421,-0.015328,0.011757,0.000000,-1.059722
40,0.400000,201,-0.012523,-62.513672,362.703125,4.312744,5.456543,-0.060495,-0.015044,0.011891,0.000000,-1.001106
40,0.400000,202,-0.015018,-62.679688,359.171875,4.018311,5.458740,-0.007177,-0.015198,0.011188,0.000000,-0.959959
40,0.400000,203,-0.633789,-62.675781,357.406250,4.167969,5.396729,-0.091518,-0.015100,0.011662,0.000000,-1.045295
40,0.400000,204,-0.006465,-61.976562,358.468750,4.139893,5.344482,-0.143387,-0.014909,0.011549,0.000000,-1.067482
41,0.410000,205,0.254333,-62.328125,358.468750,4.041260,5.507568,-0.177528,-0.015364,0.011274,0.000000,-1.132280
41,0.410000,206,0.065842,-62.597656,359.531250,4.015137,5.082275,-0.161125,-0.014136,0.011168,0.000000,-1.045260
41,0.410000,207,0.160614,-62.416016,358.812500,3.932617,5.313965,-0.177765,-0.014810,0.010960,0.000000,-1.100377
41,0.410000,208,0.071232,-62.152344,359.531250,3.959473,5.120117,-0.144035,-0.014241,0.011013,0.000000,-1.028368
