Format Version,1.0,
Take Name,230626_Group7_trial3,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 17:00:11 +0900,
Total Frames In Take,705,
Total Exported Frames,7050,
Coordinate Space,Local,
Device Name,Trigno 2883,
Device Type,0,
Device Channel Count,2,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Sensor 1,Sensor 2
0,0.000000,0,-0.018595,-0.054324
0,0.000000,1,0.002617,-0.057872
0,0.000000,2,0.040004,-0.055865
0,0.000000,3,0.067139,-0.053295
0,0.000000,4,0.050390,-0.055772
0,0.000000,5,0.026478,-0.055954
0,0.000000,6,0.004066,-0.052896
0,0.000000,7,-0.020598,-0.052236
0,0.000000,8,-0.052001,-0.055468
0,0.000000,9,-0.085843,-0.055436
1,0.010000,10,-0.088088,-0.056760
1,0.010000,11,-0.028474,-0.054863
1,0.010000,12,0.024438,-0.058671
1,0.010000,13,0.042855,-0.056131
1,0.010000,14,0.062905,-0.055088
1,0.010000,15,0.060964,-0.054509
1,0.010000,16,0.030312,-0.051935
1,0.010000,17,0.012221,-0.055793
1,0.010000,18,0.008732,-0.057149
1,0.010000,19,0.005116,-0.054064
2,0.020000,20,-0.001226,-0.054271
2,0.020000,21,-0.014113,-0.057898
2,0.020000,22,-0.016741,-0.054552
2,0.020000,23,-0.003697,-0.049727
2,0.020000,24,0.007731,-0.053136
2,0.020000,25,0.023325,-0.052078
2,0.020000,26,0.027836,-0.050710
2,0.020000,27,0.024315,-0.053352
2,0.020000,28,0.015127,-0.054176
2,0.020000,29,0.000378,-0.050404
3,0.030000,30,-0.010822,-0.052620
3,0.030000,31,-0.017915,-0.055001
3,0.030000,32,-0.023162,-0.056387
3,0.030000,33,-0.015505,-0.053716
3,0.030000,34,-0.044062,-0.055961
3,0.030000,35,-0.078327,-0.058995
3,0.030000,36,-0.053950,-0.056591
3,0.030000,37,0.022888,-0.060688
3,0.030000,38,0.083322,-0.061405
3,0.030000,39,0.085265,-0.059618
4,0.040000,40,0.070484,-0.057173
4,0.040000,41,0.050612,-0.056895
4,0.040000,42,0.015807,-0.054939
4,0.040000,43,-0.007246,-0.052828
4,0.040000,44,-0.004764,-0.052692
4,0.040000,45,0.003302,-0.053058
4,0.040000,46,0.008047,-0.051392
4,0.040000,47,-0.006073,-0.050157
4,0.040000,48,-0.013933,-0.051983
4,0.040000,49,-0.021460,-0.050334
5,0.050000,50,-0.022802,-0.056270
5,0.050000,51,-0.009772,-0.058279
5,0.050000,52,-0.003069,-0.059661
5,0.050000,53,-0.002193,-0.058446
5,0.050000,54,-0.010396,-0.056222
5,0.050000,55,-0.002446,-0.058550
5,0.050000,56,0.011797,-0.061933
5,0.050000,57,0.009630,-0.055946
5,0.050000,58,0.007670,-0.054862
5,0.050000,59,0.004224,-0.055123
6,0.060000,60,0.004626,-0.054781
6,0.060000,61,0.003471,-0.054355
6,0.060000,62,0.003000,-0.057312
6,0.060000,63,0.004367,-0.053906
6,0.060000,64,0.004324,-0.053473
6,0.060000,65,0.007730,-0.055010
6,0.060000,66,0.009023,-0.054495
6,0.060000,67,0.005245,-0.053930
6,0.060000,68,0.003974,-0.055733
6,0.060000,69,0.004879,-0.055555
7,0.070000,70,0.005059,-0.054020
7,0.070000,71,0.001067,-0.052714
7,0.070000,72,-0.002420,-0.051993
7,0.070000,73,-0.003276,-0.053780
7,0.070000,74,0.003423,-0.054054
7,0.070000,75,-0.002939,-0.051017
7,0.070000,76,-0.002839,-0.052786
7,0.070000,77,0.012628,-0.053655
7,0.070000,78,0.023426,-0.054814
7,0.070000,79,0.020413,-0.054337
8,0.080000,80,0.017030,-0.052755
8,0.080000,81,0.013342,-0.052238
8,0.080000,82,0.006727,-0.050130
8,0.080000,83,0.001478,-0.053549
8,0.080000,84,0.004734,-0.053643
8,0.080000,85,-0.000318,-0.055818
8,0.080000,86,-0.005449,-0.054089
8,0.080000,87,-0.009527,-0.054585
8,0.080000,88,-0.006545,-0.052142
8,0.080000,89,-0.012138,-0.052763
9,0.090000,90,-0.023755,-0.053603
9,0.090000,91,-0.012761,-0.057426
9,0.090000,92,-0.009364,-0.058674
9,0.090000,93,-0.008873,-0.060889
9,0.090000,94,0.003908,-0.060991
9,0.090000,95,0.013865,-0.058352
9,0.090000,96,-0.002201,-0.056278
9,0.090000,97,0.005550,-0.055505
9,0.090000,98,0.021846,-0.053181
9,0.090000,99,0.012523,-0.058910
10,0.100000,100,-0.028131,-0.059507
10,0.100000,101,-0.011006,-0.056507
10,0.100000,102,0.048095,-0.055012
10,0.100000,103,0.067242,-0.055903
10,0.100000,104,0.058102,-0.053889
10,0.100000,105,0.065323,-0.052674
10,0.100000,106,0.022425,-0.056951
10,0.100000,107,-0.004556,-0.057547
10,0.100000,108,-0.011693,-0.055428
10,0.100000,109,-0.017258,-0.052346
11,0.110000,110,-0.006406,-0.052538
11,0.110000,111,-0.006435,-0.052697
11,0.110000,112,-0.006905,-0.055736
11,0.110000,113,-0.009569,-0.051979
11,0.110000,114,-0.013449,-0.051615
11,0.110000,115,0.001461,-0.054036
11,0.110000,116,-0.002222,-0.055353
11,0.110000,117,-0.021392,-0.057938
11,0.110000,118,-0.045579,-0.057713
11,0.110000,119,-0.058515,-0.056603
12,0.120000,120,-0.038164,-0.056921
12,0.120000,121,0.007342,-0.053415
12,0.120000,122,0.026143,-0.053625
12,0.120000,123,0.054787,-0.057186
12,0.120000,124,0.058284,-0.058863
12,0.120000,125,0.023476,-0.056938
12,0.120000,126,-0.010533,-0.058937
12,0.120000,127,-0.000056,-0.057980
12,0.120000,128,0.015414,-0.057529
12,0.120000,129,0.026093,-0.060359
13,0.130000,130,0.014324,-0.054723
13,0.130000,131,0.025980,-0.051266
13,0.130000,132,0.027008,-0.050539
13,0.130000,133,0.009596,-0.049619
13,0.130000,134,-0.005067,-0.054704
13,0.130000,135,-0.029303,-0.053249
13,0.130000,136,-0.050623,-0.056029
13,0.130000,137,-0.033959,-0.055514
13,0.130000,138,0.008476,-0.053447
13,0.130000,139,0.056490,-0.056714
14,0.140000,140,0.051386,-0.055946
14,0.140000,141,0.021390,-0.056405
14,0.140000,142,-0.004067,-0.056817
14,0.140000,143,-0.017725,-0.059666
14,0.140000,144,-0.033310,-0.056713
14,0.140000,145,-0.027165,-0.053648
14,0.140000,146,-0.006769,-0.054319
14,0.140000,147,0.005404,-0.060541
14,0.140000,148,0.006498,-0.057546
14,0.140000,149,0.004207,-0.054965
15,0.150000,150,-0.002606,-0.058218
15,0.150000,151,-0.005136,-0.055442
15,0.150000,152,0.000024,-0.055825
15,0.150000,153,-0.000020,-0.057374
15,0.150000,154,-0.003182,-0.054027
15,0.150000,155,-0.003488,-0.058680
15,0.150000,156,0.009316,-0.057010
15,0.150000,157,0.018507,-0.054120
15,0.150000,158,0.014971,-0.055048
15,0.150000,159,0.006231,-0.053925
16,0.160000,160,0.003163,-0.054515
16,0.160000,161,-0.003193,-0.054569
16,0.160000,162,-0.008030,-0.053916
16,0.160000,163,-0.007182,-0.058008
16,0.160000,164,0.001283,-0.056905
16,0.160000,165,0.007670,-0.054374
16,0.160000,166,0.012514,-0.052952
16,0.160000,167,0.017404,-0.056679
16,0.160000,168,0.016077,-0.050801
16,0.160000,169,0.008320,-0.052588
17,0.170000,170,0.002956,-0.055868
17,0.170000,171,0.006237,-0.056074
17,0.170000,172,-0.000317,-0.055449
17,0.170000,173,0.009396,-0.053961
17,0.170000,174,0.011609,-0.049410
17,0.170000,175,0.007510,-0.052984
17,0.170000,176,0.006092,-0.050704
17,0.170000,177,0.004031,-0.051234
17,0.170000,178,-0.000435,-0.049527
17,0.170000,179,-0.011605,-0.052456
18,0.180000,180,-0.007811,-0.052185
18,0.180000,181,-0.002687,-0.055782
18,0.180000,182,0.000593,-0.053024
18,0.180000,183,0.005979,-0.057071
18,0.180000,184,0.017304,-0.058160
18,0.180000,185,0.018443,-0.056427
18,0.180000,186,0.005923,-0.056998
18,0.180000,187,0.001092,-0.058206
18,0.180000,188,0.000067,-0.059039
18,0.180000,189,0.000542,-0.052859
19,0.190000,190,0.002291,-0.052816
19,0.190000,191,0.003122,-0.052858
19,0.190000,192,0.003986,-0.049795
19,0.190000,193,0.005070,-0.053867
19,0.190000,194,0.000842,-0.055032
19,0.190000,195,0.005000,-0.055520
19,0.190000,196,0.002874,-0.054214
19,0.190000,197,0.001635,-0.055454
19,0.190000,198,0.007506,-0.054003
19,0.190000,199,0.002936,-0.052145
20,0.200000,200,0.001345,-0.051496
20,0.200000,201,0.005763,-0.054324
20,0.200000,202,0.007737,-0.053252
20,0.200000,203,0.003185,-0.054748
20,0.200000,204,-0.003342,-0.055686
20,0.200000,205,-0.009747,-0.052397
20,0.200000,206,-0.011006,-0.053985
20,0.200000,207,-0.008848,-0.055097
20,0.200000,208,-0.004925,-0.053509
20,0.200000,209,0.009790,-0.053226
21,0.210000,210,0.017723,-0.054195
21,0.210000,211,0.024480,-0.054740
21,0.210000,212,0.036115,-0.054553
21,0.210000,213,-0.001590,-0.054389
21,0.210000,214,-0.057657,-0.055639
21,0.210000,215,-0.122102,-0.052233
21,0.210000,216,-0.131401,-0.054181
21,0.210000,217,-0.028687,-0.055618
21,0.210000,218,0.064070,-0.058499
21,0.210000,219,0.131317,-0.058011
22,0.220000,220,0.164224,-0.052948
22,0.220000,221,0.119866,-0.054872
22,0.220000,222,0.066637,-0.054611
22,0.220000,223,0.031296,-0.055820
22,0.220000,224,0.036462,-0.061458
22,0.220000,225,0.021290,-0.059316
22,0.220000,226,-0.001900,-0.058284
22,0.220000,227,-0.023409,-0.057656
22,0.220000,228,-0.042593,-0.061722
22,0.220000,229,-0.065973,-0.056125
23,0.230000,230,-0.065778,-0.057373
23,0.230000,231,-0.048369,-0.057460
23,0.230000,232,-0.024493,-0.055927
23,0.230000,233,-0.000552,-0.055619
23,0.230000,234,0.004330,-0.055104
23,0.230000,235,-0.005887,-0.052812
23,0.230000,236,0.005223,-0.053299
23,0.230000,237,0.011249,-0.053065
23,0.230000,238,0.005729,-0.053645
23,0.230000,239,0.015971,-0.055800
24,0.240000,240,0.029360,-0.051894
24,0.240000,241,0.024227,-0.053309
24,0.240000,242,0.017858,-0.055370
24,0.240000,243,0.007879,-0.052581
24,0.240000,244,-0.003182,-0.053998
24,0.240000,245,-0.009425,-0.054489
24,0.240000,246,-0.032501,-0.056691
24,0.240000,247,-0.047447,-0.057034
24,0.240000,248,-0.038315,-0.057848
24,0.240000,249,-0.007941,-0.055639
25,0.250000,250,0.025783,-0.055387
25,0.250000,251,0.052977,-0.054374
25,0.250000,252,0.045193,-0.054870
25,0.250000,253,0.021974,-0.054293
25,0.250000,254,0.003745,-0.050993
25,0.250000,255,-0.002996,-0.054591
25,0.250000,256,-0.013895,-0.054626
25,0.250000,257,-0.017542,-0.052056
25,0.250000,258,-0.009362,-0.058134
25,0.250000,259,-0.012328,-0.056885
26,0.260000,260,-0.001242,-0.054984
26,0.260000,261,0.000094,-0.059073
26,0.260000,262,-0.005499,-0.058734
26,0.260000,263,0.000161,-0.056339
26,0.260000,264,0.013208,-0.060071
26,0.260000,265,0.019489,-0.058892
26,0.260000,266,0.015392,-0.057613
26,0.260000,267,0.006312,-0.057490
26,0.260000,268,0.006244,-0.054069
26,0.260000,269,0.015965,-0.055727
27,0.270000,270,0.023114,-0.051887
27,0.270000,271,0.027631,-0.052595
27,0.270000,272,0.006062,-0.056039
27,0.270000,273,-0.001526,-0.054643
27,0.270000,274,0.001362,-0.053372
27,0.270000,275,0.001308,-0.051419
27,0.270000,276,-0.000934,-0.053669
27,0.270000,277,0.000785,-0.058151
27,0.270000,278,0.002279,-0.058371
27,0.270000,279,0.000229,-0.057723
28,0.280000,280,-0.001120,-0.055821
28,0.280000,281,-0.010738,-0.054626
28,0.280000,282,-0.007039,-0.057774
28,0.280000,283,0.001381,-0.058897
28,0.280000,284,0.001746,-0.056387
28,0.280000,285,0.004339,-0.054199
28,0.280000,286,0.005710,-0.054341
28,0.280000,287,0.007676,-0.055546
28,0.280000,288,0.006444,-0.058761
28,0.280000,289,0.008005,-0.057489
29,0.290000,290,0.009327,-0.048889
29,0.290000,291,0.003387,-0.053401
29,0.290000,292,0.000484,-0.052558
29,0.290000,293,-0.001413,-0.056055
29,0.290000,294,-0.008294,-0.052348
29,0.290000,295,-0.021280,-0.054866
29,0.290000,296,-0.032972,-0.057390
29,0.290000,297,-0.026991,-0.053313
29,0.290000,298,-0.001886,-0.053383
29,0.290000,299,0.022891,-0.052447
30,0.300000,300,0.033479,-0.054466
30,0.300000,301,0.049830,-0.054814
30,0.300000,302,0.050348,-0.054431
30,0.300000,303,0.025232,-0.054513
30,0.300000,304,0.002564,-0.052263
30,0.300000,305,-0.000268,-0.054502
30,0.300000,306,0.001918,-0.056112
30,0.300000,307,0.002164,-0.056093
30,0.300000,308,0.005963,-0.059256
30,0.300000,309,0.010546,-0.055729
31,0.310000,310,0.014296,-0.056803
31,0.310000,311,0.003350,-0.058414
31,0.310000,312,-0.025666,-0.059416
31,0.310000,313,-0.072851,-0.056152
31,0.310000,314,-0.086047,-0.054577
31,0.310000,315,-0.066046,-0.056013
31,0.310000,316,-0.058885,-0.053878
