Format Version,1.0,
Take Name,230626_Group7_trial3,
Capture Frame Rate,500.00,
Export Frame Rate,100.00,
Capture Start Time,26 Jun 2023 17:00:11 +0900,
Total Frames In Take,705,
Total Exported Frames,3525,
Coordinate Space,Local,
Device Name,AMTI 10665M 10665M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,5.00,

PlateLength,18.250000,
PlateWidth,20.000000,
PlateOrder,2,
PosX_PosY_X,-0.004609,
PosX_PosY_Y,0.004035,
PosX_PosY_Z,0.511387,
NegX_PosY_X,0.459686,
NegX_PosY_Y,0.001415,
NegX_PosY_Z,0.511726,
NegX_NegY_X,0.457833,
NegX_NegY_Y,0.008914,
NegX_NegY_Z,1.020820,
PosX_NegY_X,-0.006462,
PosX_NegY_Y,0.011534,
PosX_NegY_Z,1.020490,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,5.325928,-55.357422,337.593750,2.851196,3.358398,-0.936371,-0.009948,0.008446,0.000000,-1.442088
0,0.000000,1,5.582520,-55.716797,337.968750,2.715332,3.217285,-0.953796,-0.009519,0.008034,0.000000,-1.439340
0,0.000000,2,5.762451,-55.457031,339.015625,2.968140,3.223389,-0.954407,-0.009508,0.008755,0.000000,-1.431246
0,0.000000,3,5.759277,-55.724609,339.718750,2.979126,3.223267,-0.954834,-0.009488,0.008769,0.000000,-1.433046
0,0.000000,4,5.757080,-55.896484,339.375000,2.760498,3.299561,-0.988770,-0.009722,0.008134,0.000000,-1.485392
1,0.010000,5,5.937256,-55.638672,339.375000,2.937866,3.268433,-0.920410,-0.009631,0.008657,0.000000,-1.404855
1,0.010000,6,6.027588,-55.806641,337.250000,2.868896,3.425293,-1.004517,-0.010157,0.008507,0.000000,-1.520044
1,0.010000,7,5.673096,-55.544922,340.093750,2.708984,3.219727,-0.903748,-0.009467,0.007965,0.000000,-1.384412
1,0.010000,8,5.487549,-55.273438,337.609375,2.734985,2.832764,-0.971008,-0.008391,0.008101,0.000000,-1.390334
1,0.010000,9,5.940430,-55.367188,337.937500,2.888794,3.268921,-0.970856,-0.009673,0.008548,0.000000,-1.455650
2,0.020000,10,5.754150,-55.804688,337.609375,2.681274,3.110229,-0.987885,-0.009213,0.007942,0.000000,-1.456287
2,0.020000,11,5.761719,-55.537109,336.187500,2.857788,3.186768,-0.901428,-0.009479,0.008501,0.000000,-1.378894
2,0.020000,12,5.668945,-55.546875,339.390625,2.859131,3.029541,-0.937683,-0.008926,0.008424,0.000000,-1.385761
2,0.020000,13,5.939209,-55.455078,338.328125,2.742310,3.231079,-0.936920,-0.009550,0.008105,0.000000,-1.418384
2,0.020000,14,5.765625,-55.541016,337.593750,2.783203,3.376465,-0.970581,-0.010002,0.008244,0.000000,-1.478545
3,0.030000,15,5.498291,-55.361328,339.015625,2.776489,3.174805,-0.988708,-0.009365,0.008190,0.000000,-1.462125
3,0.030000,16,6.292480,-55.812500,336.906250,2.906494,3.322144,-0.901733,-0.009861,0.008627,0.000000,-1.397800
3,0.030000,17,5.587646,-55.630859,339.718750,2.787354,3.368286,-1.005981,-0.009915,0.008205,0.000000,-1.511711
3,0.030000,18,5.759277,-55.722656,340.453125,2.791382,3.261108,-1.006531,-0.009579,0.008199,0.000000,-1.493062
3,0.030000,19,5.763672,-55.367188,339.015625,2.851685,3.147339,-0.954468,-0.009284,0.008412,0.000000,-1.420001
4,0.040000,20,6.116699,-56.076172,337.968750,2.880005,3.466919,-0.902313,-0.010258,0.008522,0.000000,-1.425425
4,0.040000,21,5.666016,-55.449219,339.015625,2.554443,2.953613,-0.937531,-0.008712,0.007535,0.000000,-1.377929
4,0.040000,22,5.583740,-55.630859,337.609375,2.937256,3.140991,-1.004944,-0.009304,0.008700,0.000000,-1.473933
4,0.040000,23,5.935059,-55.806641,337.265625,2.793823,3.193726,-0.987610,-0.009469,0.008284,0.000000,-1.466904
4,0.040000,24,5.844482,-55.980469,335.843750,2.762817,3.152832,-0.867065,-0.009388,0.008226,0.000000,-1.344519
5,0.050000,25,5.756348,-55.628906,337.609375,2.824463,3.109985,-1.005005,-0.009212,0.008366,0.000000,-1.469288
5,0.050000,26,5.488037,-55.886719,335.843750,2.721680,3.100342,-1.021057,-0.009232,0.008104,0.000000,-1.492500
5,0.050000,27,5.759277,-55.718750,337.593750,2.752930,3.300415,-0.919250,-0.009776,0.008155,0.000000,-1.417009
5,0.050000,28,5.941162,-55.634766,338.312500,2.937500,3.307129,-0.953949,-0.009775,0.008683,0.000000,-1.446213
5,0.050000,29,6.106934,-55.896484,336.562500,2.834717,3.086914,-0.918823,-0.009172,0.008423,0.000000,-1.380064
6,0.060000,30,5.758789,-55.097656,337.265625,2.690063,2.995605,-0.936432,-0.008882,0.007976,0.000000,-1.379879
6,0.060000,31,5.492432,-55.541016,338.671875,2.708374,3.136963,-0.971405,-0.009263,0.007997,0.000000,-1.441933
6,0.060000,32,5.839355,-56.072266,338.328125,2.842407,3.075439,-0.954132,-0.009090,0.008401,0.000000,-1.414777
6,0.060000,33,5.572998,-56.162109,339.390625,2.771240,3.064331,-0.937622,-0.009029,0.008165,0.000000,-1.399200
6,0.060000,34,6.295898,-55.548828,338.656250,2.896362,3.321045,-1.005432,-0.009807,0.008553,0.000000,-1.496328
7,0.070000,35,5.309326,-55.707031,337.265625,2.602173,3.016357,-0.936432,-0.008944,0.007715,0.000000,-1.393687
7,0.070000,36,6.019287,-55.812500,337.265625,2.981812,3.044800,-0.919312,-0.009028,0.008841,0.000000,-1.369964
7,0.070000,37,5.753174,-55.892578,339.046875,2.647461,3.109741,-0.954529,-0.009172,0.007809,0.000000,-1.422252
7,0.070000,38,5.667969,-55.628906,337.968750,2.749512,3.030396,-0.936859,-0.008966,0.008135,0.000000,-1.389544
7,0.070000,39,5.840576,-55.638672,339.390625,2.825195,2.922485,-1.023254,-0.008611,0.008324,0.000000,-1.453739
8,0.080000,40,5.930420,-55.542969,336.906250,2.745483,2.851074,-1.038940,-0.008463,0.008149,0.000000,-1.460646
8,0.080000,41,5.932861,-55.990234,337.609375,2.876587,3.155640,-0.936523,-0.009347,0.008520,0.000000,-1.409314
